puzzle size,time,success rate,average steps
4,0.58,100,11.59
5,0.42,100,9.07
6,2.12,74,52.986486486486484
7,1.7,88,31.795454545454547
8,2.74,93,44.02150537634409
9,2.94,92,41.83695652173913
10,3.57,77,60.83116883116883
11,4.3,77,69.14285714285714
12,5.51,82,73.34146341463415
13,5.43,78,70.6923076923077
14,7.1,89,75.48314606741573
15,6.89,89,67.93258426966293
